source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-08T09:00:42+00:00,900016,Santander,ES,2026-06-13,43.46,-3.8100004,Europe/Madrid,32.3,15.2,24.0,0.0,0.0,0.0,20.1
forecast,2026-06-08T09:00:42+00:00,900016,Santander,ES,2026-06-14,43.46,-3.8100004,Europe/Madrid,28.5,22.4,25.2,0.0,0.0,0.0,13.9
forecast,2026-06-08T09:00:42+00:00,900017,Albacete,ES,2026-06-08,39.0,-1.875,Europe/Madrid,33.8,16.6,24.8,0.0,0.0,0.0,14.6
forecast,2026-06-08T09:00:42+00:00,900017,Albacete,ES,2026-06-09,39.0,-1.875,Europe/Madrid,31.1,17.2,24.5,0.0,0.0,0.0,17.6
forecast,2026-06-08T09:00:42+00:00,900017,Albacete,ES,2026-06-10,39.0,-1.875,Europe/Madrid,29.7,18.2,23.2,0.2,0.0,0.0,18.2
forecast,2026-06-08T09:00:42+00:00,900017,Albacete,ES,2026-06-11,39.0,-1.875,Europe/Madrid,28.4,15.7,21.7,0.0,0.0,0.0,17.1
forecast,2026-06-08T09:00:42+00:00,900017,Albacete,ES,2026-06-12,39.0,-1.875,Europe/Madrid,28.0,14.6,21.1,0.0,0.0,0.0,18.7
forecast,2026-06-08T09:00:42+00:00,900017,Albacete,ES,2026-06-13,39.0,-1.875,Europe/Madrid,30.4,15.0,22.4,0.0,0.0,0.0,21.7
forecast,2026-06-08T09:00:42+00:00,900017,Albacete,ES,2026-06-14,39.0,-1.875,Europe/Madrid,28.2,15.5,21.9,0.0,0.0,0.0,20.4
forecast,2026-06-08T09:00:42+00:00,900018,Ciudad Real,ES,2026-06-08,39.0,-3.9375,Europe/Madrid,33.2,18.5,25.9,0.0,0.0,0.0,17.3
forecast,2026-06-08T09:00:42+00:00,900018,Ciudad Real,ES,2026-06-09,39.0,-3.9375,Europe/Madrid,33.8,15.0,25.3,0.0,0.0,0.0,13.4
forecast,2026-06-08T09:00:42+00:00,900018,Ciudad Real,ES,2026-06-10,39.0,-3.9375,Europe/Madrid,33.5,17.5,25.9,0.0,0.0,0.0,9.2
forecast,2026-06-08T09:00:42+00:00,900018,Ciudad Real,ES,2026-06-11,39.0,-3.9375,Europe/Madrid,33.6,17.9,25.9,0.0,0.0,0.0,21.1
forecast,2026-06-08T09:00:42+00:00,900018,Ciudad Real,ES,2026-06-12,39.0,-3.9375,Europe/Madrid,33.8,17.3,25.7,0.0,0.0,0.0,21.5
forecast,2026-06-08T09:00:42+00:00,900018,Ciudad Real,ES,2026-06-13,39.0,-3.9375,Europe/Madrid,35.2,17.6,26.4,0.0,0.0,0.0,12.5
forecast,2026-06-08T09:00:42+00:00,900018,Ciudad Real,ES,2026-06-14,39.0,-3.9375,Europe/Madrid,30.9,18.7,25.0,0.3,0.0,0.0,11.6
forecast,2026-06-08T09:00:42+00:00,900019,Cuenca,ES,2026-06-08,40.0625,-2.125,Europe/Madrid,30.5,15.1,23.2,0.0,0.0,0.0,15.3
forecast,2026-06-08T09:00:42+00:00,900019,Cuenca,ES,2026-06-09,40.0625,-2.125,Europe/Madrid,29.8,16.9,23.3,0.0,0.0,0.0,20.3
forecast,2026-06-08T09:00:42+00:00,900019,Cuenca,ES,2026-06-10,40.0625,-2.125,Europe/Madrid,27.5,16.4,21.6,0.0,0.0,0.0,16.8
forecast,2026-06-08T09:00:42+00:00,900019,Cuenca,ES,2026-06-11,40.0625,-2.125,Europe/Madrid,27.8,14.6,21.1,0.0,0.0,0.0,15.8
forecast,2026-06-08T09:00:42+00:00,900019,Cuenca,ES,2026-06-12,40.0625,-2.125,Europe/Madrid,28.6,14.3,21.6,0.0,0.0,0.0,17.5
forecast,2026-06-08T09:00:42+00:00,900019,Cuenca,ES,2026-06-13,40.0625,-2.125,Europe/Madrid,28.3,15.0,21.8,0.0,0.0,0.0,16.8
forecast,2026-06-08T09:00:42+00:00,900019,Cuenca,ES,2026-06-14,40.0625,-2.125,Europe/Madrid,27.7,15.5,21.5,0.0,0.0,0.0,19.9
forecast,2026-06-08T09:00:42+00:00,900020,Guadalajara,ES,2026-06-08,40.625,-3.1875,Europe/Madrid,31.9,17.8,25.5,0.0,0.0,0.0,16.6
forecast,2026-06-08T09:00:42+00:00,900020,Guadalajara,ES,2026-06-09,40.625,-3.1875,Europe/Madrid,31.6,15.6,23.8,0.0,0.0,0.0,25.3
forecast,2026-06-08T09:00:42+00:00,900020,Guadalajara,ES,2026-06-10,40.625,-3.1875,Europe/Madrid,29.2,15.9,22.0,0.0,0.0,0.0,23.3
forecast,2026-06-08T09:00:42+00:00,900020,Guadalajara,ES,2026-06-11,40.625,-3.1875,Europe/Madrid,31.0,14.2,22.3,0.0,0.0,0.0,20.1
forecast,2026-06-08T09:00:42+00:00,900020,Guadalajara,ES,2026-06-12,40.625,-3.1875,Europe/Madrid,32.8,16.6,24.9,0.0,0.0,0.0,11.1
forecast,2026-06-08T09:00:42+00:00,900020,Guadalajara,ES,2026-06-13,40.625,-3.1875,Europe/Madrid,33.3,16.1,25.4,0.0,0.0,0.0,15.9
forecast,2026-06-08T09:00:42+00:00,900020,Guadalajara,ES,2026-06-14,40.625,-3.1875,Europe/Madrid,33.1,18.0,25.6,0.0,0.0,0.0,18.8
forecast,2026-06-08T09:00:42+00:00,900021,Toledo,ES,2026-06-08,39.875,-4.0,Europe/Madrid,34.0,19.9,27.4,0.0,0.0,0.0,18.6
forecast,2026-06-08T09:00:42+00:00,900021,Toledo,ES,2026-06-09,39.875,-4.0,Europe/Madrid,34.3,18.7,26.9,0.0,0.0,0.0,14.6
forecast,2026-06-08T09:00:42+00:00,900021,Toledo,ES,2026-06-10,39.875,-4.0,Europe/Madrid,32.8,18.7,26.1,0.0,0.0,0.0,13.0
forecast,2026-06-08T09:00:42+00:00,900021,Toledo,ES,2026-06-11,39.875,-4.0,Europe/Madrid,33.5,18.5,26.2,0.0,0.0,0.0,18.9
forecast,2026-06-08T09:00:42+00:00,900021,Toledo,ES,2026-06-12,39.875,-4.0,Europe/Madrid,34.1,19.6,27.0,0.0,0.0,0.0,18.9
forecast,2026-06-08T09:00:42+00:00,900021,Toledo,ES,2026-06-13,39.875,-4.0,Europe/Madrid,35.7,19.8,27.6,0.0,0.0,0.0,20.2
forecast,2026-06-08T09:00:42+00:00,900021,Toledo,ES,2026-06-14,39.875,-4.0,Europe/Madrid,34.7,20.6,26.4,0.0,0.0,0.0,21.0
forecast,2026-06-08T09:00:42+00:00,900022,Ávila,ES,2026-06-08,40.6875,-4.6875,Europe/Madrid,27.1,12.3,20.4,0.0,0.0,0.0,17.6
forecast,2026-06-08T09:00:42+00:00,900022,Ávila,ES,2026-06-09,40.6875,-4.6875,Europe/Madrid,25.5,10.6,18.6,0.0,0.0,0.0,17.7
forecast,2026-06-08T09:00:42+00:00,900022,Ávila,ES,2026-06-10,40.6875,-4.6875,Europe/Madrid,23.9,8.8,16.5,0.0,0.0,0.0,19.4
